specimen_id,species_code,event_id,organism_weight,fork_length
25392,21740,118,0.584,48.0
25393,21740,118,0.522,43.0
25394,21740,118,0.706,47.0
25395,21740,118,0.294,36.0
25396,21740,118,0.48,42.0
25397,21740,118,0.744,47.0
25398,21740,118,0.87,51.0
25399,21740,118,0.822,50.0
25400,21740,118,0.594,46.0
25401,21740,118,0.728,49.0
26200,21740,120,0.438,39.0
26201,21740,120,0.574,42.0
26202,21740,120,0.674,44.0
26203,21740,120,0.396,37.0
26204,21740,120,0.668,47.0
26205,21740,120,0.588,43.0
26206,21740,120,0.586,43.0
26207,21740,120,0.658,48.0
26208,21740,120,0.48,39.0
26209,21740,120,0.568,42.0
26210,21740,120,0.522,42.0
26211,21740,120,0.862,50.0
26212,21740,120,0.606,45.0
26213,21740,120,0.33,35.0
26214,21740,120,0.648,45.0
26215,21740,120,0.774,47.0
26216,21740,120,0.754,46.0
26217,21740,120,0.66,45.0
26218,21740,120,0.498,39.0
26219,21740,120,0.498,43.0
26220,21740,120,0.568,43.0
26221,21740,120,0.558,45.0
27511,21740,127,0.616,45.0
27512,21740,127,0.668,45.0
27513,21740,127,0.762,47.0
27514,21740,127,0.612,46.0
27515,21740,127,0.656,45.0
27516,21740,127,0.488,40.0
27517,21740,127,0.506,42.0
27518,21740,127,0.546,43.0
27519,21740,127,0.514,43.0
27520,21740,127,0.592,44.0
27521,21740,127,0.438,40.0
27522,21740,127,0.554,44.0
27523,21740,127,0.532,43.0
27524,21740,127,0.602,45.0
27525,21740,127,0.588,44.0
27559,21740,127,0.56,44.0
27560,21740,127,0.578,45.0
27561,21740,127,0.602,44.0
27562,21740,127,0.554,43.0
25402,21740,118,0.342,37.0
25403,21740,118,0.614,44.0
25404,21740,118,0.508,42.0
25405,21740,118,0.268,32.0
25406,21740,118,0.624,45.0
25414,21740,118,0.79,49.0
25415,21740,118,0.628,46.0
25416,21740,118,0.352,36.0
25417,21740,118,0.73,46.0
25418,21740,118,0.366,37.0
25419,21740,118,0.556,44.0
25420,21740,118,0.468,41.0
25421,21740,118,0.474,41.0
25422,21740,118,0.56,43.0
25423,21740,118,0.7,47.0
